num,ffn_num_layers,hidden_size,dropout,inh mean auc,kill mean auc
0.0,1.0,500.0,0.1,0.7043390782193412,0.5816439502229319
1.0,1.0,500.0,0.2,0.7029532249801561,0.5791162104973173
2.0,1.0,500.0,0.3,0.7009929568858148,0.5749397609939375
3.0,1.0,1000.0,0.1,0.7043390782193412,0.5816439502229319
4.0,1.0,1000.0,0.2,0.7029532249801561,0.5791162104973173
5.0,1.0,1000.0,0.3,0.7009929568858148,0.5749397609939375
6.0,1.0,1500.0,0.1,0.7043390782193412,0.5816439502229319
7.0,1.0,1500.0,0.2,0.7029532249801561,0.5791162104973173
8.0,1.0,1500.0,0.3,0.7009929568858148,0.5749397609939375
9.0,2.0,500.0,0.1,0.715376133463919,0.6191126454344431
10.0,2.0,500.0,0.2,0.7087921036031452,0.6112839782450453
11.0,2.0,500.0,0.3,0.7115697656765781,0.6189448563259804
12.0,2.0,1000.0,0.1,0.7147609677928438,0.6191427164278813
13.0,2.0,1000.0,0.2,0.7025612186602067,0.6179112106172909
14.0,2.0,1000.0,0.3,0.7014171213847414,0.6421237711157716
15.0,2.0,1500.0,0.1,0.7245453950865984,0.6315256807390395
16.0,2.0,1500.0,0.2,0.7194275605104479,0.6317023409102923
17.0,2.0,1500.0,0.3,0.7079057066043989,0.6305823421399176
18.0,3.0,500.0,0.1,0.713861263522977,0.6420651172380668
19.0,3.0,500.0,0.2,0.6981503579739848,0.6218324567257687
20.0,3.0,500.0,0.3,0.6922701411130188,0.6127537691623419
21.0,3.0,1000.0,0.1,0.7020501207826211,0.6354240788292528
22.0,3.0,1000.0,0.2,0.6791309845910801,0.6134080213448154
23.0,3.0,1000.0,0.3,0.6974564701182976,0.6393188709021098
24.0,3.0,1500.0,0.1,0.6777134487050599,0.6176823435964439
25.0,3.0,1500.0,0.2,0.6760726898940977,0.6059286135225127
26.0,3.0,1500.0,0.3,0.7146772588781215,0.6590498201239524
27.0,4.0,500.0,0.1,0.687866822824302,0.6126476832239527
28.0,4.0,500.0,0.2,0.6848064479920667,0.6017003778612423
29.0,4.0,500.0,0.3,0.6710739468755834,0.5828593597248969
30.0,4.0,1000.0,0.1,0.7022776641840837,0.6300426679645273
31.0,4.0,1000.0,0.2,0.6875562545623749,0.6063622626545345
32.0,4.0,1000.0,0.3,0.712219614678594,0.6330512969087144
33.0,4.0,1500.0,0.1,0.6954817021080517,0.6387018877109686
34.0,4.0,1500.0,0.2,0.6961742396558916,0.6208751523180576
35.0,4.0,1500.0,0.3,0.7019672383275042,0.609745265930249
